,id_flights,Month,DayofMonth,DayOfWeek,DepTime,ArrTime,UniqueCarrier,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,weekend
33,402285,3,26,3,1738.0,1849.0,17,71.0,75.0,59.0,4.0,8.0,47,268,358,0
34,1216200,7,4,5,1028.0,1108.0,0,100.0,98.0,78.0,13.0,11.0,87,35,457,0
35,23748,1,25,5,1938.0,2107.0,17,89.0,95.0,79.0,17.0,23.0,220,266,507,0
36,264420,2,12,2,1845.0,2000.0,15,135.0,135.0,116.0,60.0,60.0,80,242,804,0
37,76071,1,2,3,725.0,1323.0,15,238.0,250.0,221.0,53.0,65.0,264,210,1829,0
38,256107,2,26,2,1607.0,1833.0,15,86.0,93.0,74.0,35.0,42.0,80,175,533,0
39,1868211,12,6,6,1711.0,1942.0,11,91.0,80.0,50.0,27.0,16.0,210,87,235,1
40,1820120,12,20,6,1147.0,1458.0,16,371.0,409.0,350.0,-26.0,12.0,220,164,2979,1
41,944420,6,11,3,1301.0,1358.0,14,57.0,64.0,35.0,8.0,15.0,114,80,212,0
42,994863,6,27,5,1741.0,2303.0,8,202.0,208.0,182.0,45.0,51.0,80,284,1506,0
43,1756237,12,25,4,2017.0,2132.0,17,75.0,55.0,50.0,92.0,72.0,155,248,258,0
44,1363959,8,1,5,1008.0,1117.0,11,69.0,70.0,43.0,102.0,103.0,299,81,281,0
45,1344578,8,26,2,2200.0,2306.0,6,66.0,65.0,46.0,286.0,285.0,50,18,191,0
46,994408,6,24,2,1851.0,2328.0,8,157.0,159.0,137.0,4.0,6.0,80,77,1084,0
47,516585,3,1,6,814.0,918.0,12,64.0,45.0,22.0,93.0,74.0,154,87,74,1
48,1113545,7,20,7,1616.0,1854.0,18,218.0,223.0,180.0,57.0,62.0,96,206,1325,1
49,1109131,7,16,3,1552.0,1701.0,18,69.0,74.0,51.0,47.0,52.0,157,263,308,0
50,1513279,9,3,3,856.0,1146.0,5,230.0,242.0,181.0,-6.0,6.0,96,136,1400,0
51,87790,1,20,7,806.0,1101.0,16,115.0,114.0,88.0,27.0,26.0,210,63,599,1
52,1374588,8,3,7,1900.0,2100.0,12,120.0,134.0,99.0,70.0,84.0,87,18,594,1
53,942880,6,8,7,2350.0,307.0,14,137.0,120.0,111.0,317.0,300.0,175,224,773,1
54,1085489,7,9,3,2242.0,110.0,17,88.0,105.0,74.0,55.0,72.0,179,48,611,0
55,1385306,8,1,5,1852.0,2217.0,1,265.0,230.0,184.0,62.0,27.0,162,81,1389,0
56,524150,3,5,3,1954.0,2115.0,0,81.0,99.0,67.0,16.0,34.0,181,206,432,0
57,1268024,8,8,5,1849.0,2036.0,17,167.0,170.0,154.0,16.0,19.0,248,179,1105,0
58,1464446,9,5,5,1245.0,1813.0,15,208.0,213.0,180.0,28.0,33.0,80,219,1557,0
59,1429568,9,14,7,1115.0,1154.0,17,99.0,105.0,86.0,14.0,20.0,175,80,533,1
60,1005147,6,11,3,1909.0,2223.0,11,134.0,140.0,117.0,8.0,14.0,81,109,859,0
61,953652,6,19,4,2255.0,710.0,15,315.0,326.0,290.0,29.0,40.0,259,96,2565,0
62,506402,3,11,2,1158.0,1206.0,11,68.0,75.0,48.0,6.0,13.0,73,210,264,0
63,983982,6,27,5,2015.0,2016.0,6,61.0,77.0,43.0,-1.0,15.0,18,227,272,0
64,1608319,10,10,5,1207.0,1635.0,3,208.0,200.0,180.0,165.0,157.0,16,257,1449,0
65,941687,6,5,4,1847.0,2028.0,14,161.0,149.0,134.0,59.0,47.0,210,68,911,0
66,1544754,10,3,5,910.0,1040.0,19,90.0,97.0,64.0,8.0,15.0,220,157,370,0
67,447683,3,25,2,1816.0,2146.0,15,150.0,144.0,128.0,57.0,51.0,200,135,954,0
68,434585,3,3,1,1227.0,1440.0,14,73.0,79.0,54.0,85.0,91.0,210,160,323,0
69,729701,5,7,3,1800.0,1951.0,17,111.0,130.0,100.0,-9.0,10.0,220,258,651,0
70,1281944,8,24,7,1824.0,1920.0,17,56.0,80.0,45.0,-5.0,19.0,76,15,324,1
71,574705,4,5,6,2051.0,2257.0,17,186.0,185.0,146.0,57.0,56.0,177,175,1072,1
72,1229957,7,7,1,1455.0,1546.0,1,111.0,124.0,95.0,47.0,60.0,238,210,647,0
73,1542427,10,16,4,2200.0,2254.0,18,54.0,59.0,41.0,65.0,70.0,61,119,214,0
74,562281,3,19,3,615.0,834.0,5,139.0,127.0,107.0,24.0,12.0,37,61,563,0
75,673724,4,23,3,2058.0,2119.0,11,81.0,100.0,67.0,99.0,118.0,224,210,412,0
76,319999,2,12,2,1931.0,2143.0,12,132.0,81.0,69.0,80.0,29.0,199,210,334,0
77,550115,3,9,7,1021.0,1337.0,4,196.0,189.0,153.0,28.0,21.0,150,215,1028,1
78,989132,6,26,4,2150.0,2309.0,7,79.0,92.0,59.0,67.0,80.0,18,243,357,0
79,511901,3,26,3,1251.0,1351.0,12,120.0,119.0,94.0,57.0,56.0,87,181,610,0
80,577296,4,7,1,826.0,1010.0,17,164.0,165.0,128.0,25.0,26.0,285,179,997,0
81,983721,6,27,5,2024.0,2223.0,6,119.0,136.0,98.0,61.0,78.0,18,219,665,0
82,1473966,9,23,2,2111.0,2331.0,6,140.0,169.0,124.0,112.0,141.0,37,18,946,0
83,1394059,8,3,7,1042.0,1350.0,1,128.0,144.0,110.0,-9.0,7.0,80,210,888,1
84,266255,2,1,5,1953.0,2209.0,16,136.0,144.0,120.0,25.0,33.0,79,284,814,0
85,476399,3,2,7,1305.0,1421.0,7,76.0,97.0,63.0,2.0,23.0,18,202,317,1
86,1016008,6,8,7,1701.0,1954.0,11,173.0,125.0,112.0,54.0,6.0,37,237,612,1
87,1308133,8,26,2,1815.0,1925.0,13,70.0,83.0,60.0,52.0,65.0,120,73,330,0
88,747505,5,23,5,842.0,938.0,17,56.0,65.0,46.0,3.0,12.0,46,48,281,0
89,949703,6,24,2,1803.0,2211.0,14,188.0,205.0,173.0,38.0,55.0,267,200,1428,0
90,1735013,12,13,6,1101.0,1321.0,17,80.0,75.0,64.0,96.0,91.0,258,36,399,1
91,1213789,7,31,4,1545.0,1737.0,0,112.0,106.0,70.0,107.0,101.0,87,279,479,0
92,349359,2,15,5,1658.0,2019.0,1,141.0,139.0,106.0,20.0,18.0,210,150,740,0
93,812872,5,1,4,2028.0,2319.0,8,111.0,107.0,85.0,71.0,67.0,220,80,602,0
94,1762659,12,29,1,1323.0,1330.0,17,67.0,70.0,55.0,5.0,8.0,64,179,284,0
95,435031,3,4,2,2136.0,2327.0,14,111.0,116.0,88.0,11.0,16.0,80,123,624,0
96,1249563,7,20,7,2243.0,615.0,5,272.0,268.0,239.0,27.0,23.0,249,61,2026,1
97,668745,4,14,1,715.0,756.0,11,41.0,50.0,28.0,6.0,15.0,118,81,134,0
98,1430019,9,14,7,1836.0,1942.0,17,66.0,70.0,56.0,7.0,11.0,289,248,367,1
99,1771409,12,16,2,1819.0,1941.0,18,82.0,93.0,42.0,83.0,94.0,96,244,246,0
100,755066,5,30,5,1252.0,1350.0,17,58.0,60.0,47.0,45.0,47.0,264,47,296,0
101,268699,2,9,6,1734.0,1931.0,16,117.0,126.0,94.0,15.0,24.0,104,63,631,1
102,603522,4,27,7,1152.0,1457.0,18,185.0,76.0,52.0,131.0,22.0,37,96,200,1
103,1297703,8,10,7,707.0,819.0,18,72.0,76.0,59.0,3.0,7.0,209,288,409,1
104,480560,3,18,2,2058.0,2204.0,7,66.0,73.0,44.0,21.0,28.0,18,101,331,0
105,1493779,9,14,7,2138.0,2220.0,12,102.0,129.0,88.0,126.0,153.0,64,199,627,1
106,191182,2,8,5,1419.0,1631.0,17,132.0,150.0,116.0,21.0,39.0,177,219,861,0
107,1149995,7,12,6,2125.0,2243.0,15,138.0,168.0,110.0,46.0,76.0,96,210,719,1
108,822155,5,25,7,1611.0,1712.0,11,61.0,65.0,45.0,12.0,16.0,81,158,282,1
109,1195354,7,18,5,551.0,712.0,11,81.0,80.0,61.0,7.0,6.0,44,81,383,0
110,1434377,9,21,7,1141.0,1235.0,17,54.0,55.0,41.0,15.0,16.0,258,111,224,1
111,945548,6,14,6,1037.0,1101.0,14,84.0,90.0,70.0,6.0,12.0,224,187,431,1
112,1679370,11,14,5,1816.0,2121.0,7,125.0,100.0,97.0,146.0,121.0,262,18,552,0
113,1506161,9,6,6,749.0,836.0,1,47.0,55.0,31.0,11.0,19.0,206,81,175,1
114,171806,1,29,2,1025.0,1327.0,4,182.0,205.0,159.0,-8.0,15.0,150,247,1074,0
115,1010155,6,13,5,1500.0,1820.0,11,140.0,75.0,49.0,85.0,20.0,210,61,316,0
116,1519742,10,5,7,2122.0,2213.0,17,51.0,55.0,39.0,48.0,52.0,130,76,239,1
117,1476796,9,10,3,941.0,955.0,7,74.0,73.0,46.0,62.0,61.0,18,227,272,0
118,96449,1,18,5,2240.0,605.0,6,265.0,289.0,247.0,-15.0,9.0,155,150,2248,0
119,1436405,9,25,4,1830.0,2007.0,17,97.0,100.0,66.0,97.0,100.0,155,258,414,0
120,352794,2,19,2,1943.0,2221.0,3,158.0,165.0,141.0,1.0,8.0,258,248,1050,0
121,1487049,9,10,3,1224.0,1301.0,11,37.0,50.0,26.0,-4.0,9.0,210,197,109,0
122,698738,4,9,3,1140.0,1519.0,1,159.0,164.0,141.0,20.0,25.0,81,79,1192,0
123,911312,6,26,4,1818.0,1843.0,17,85.0,85.0,64.0,28.0,28.0,224,179,402,0
124,1275672,8,16,6,1900.0,1952.0,17,52.0,55.0,37.0,42.0,45.0,20,76,189,1
125,335217,2,11,1,1623.0,1842.0,1,139.0,145.0,122.0,2.0,8.0,186,79,920,0
126,682893,4,16,3,1028.0,1120.0,12,112.0,124.0,95.0,76.0,88.0,64,199,627,0
127,708661,4,6,7,2011.0,2304.0,4,173.0,200.0,149.0,34.0,61.0,150,284,1005,1
128,672552,4,23,3,1212.0,1222.0,11,70.0,70.0,54.0,62.0,62.0,64,210,296,0
129,1724862,11,6,4,753.0,1041.0,6,168.0,125.0,138.0,66.0,23.0,18,219,665,0
130,695720,4,4,5,1017.0,1352.0,1,215.0,170.0,185.0,92.0,47.0,186,162,1097,0
131,1462061,9,4,4,2213.0,2246.0,15,93.0,94.0,76.0,149.0,150.0,207,80,472,0
132,1624449,11,7,5,611.0,750.0,17,99.0,110.0,78.0,-5.0,6.0,204,216,543,0
133,78630,1,21,1,1820.0,2011.0,15,171.0,156.0,139.0,25.0,10.0,136,80,861,0
134,1252191,7,20,7,1836.0,2219.0,5,403.0,384.0,344.0,45.0,26.0,96,263,2548,1
135,1216655,7,28,1,2048.0,2315.0,0,87.0,95.0,58.0,125.0,133.0,181,140,381,0
136,971224,6,5,4,2300.0,59.0,16,119.0,115.0,106.0,70.0,66.0,220,258,651,0
137,1364375,8,11,1,2211.0,2321.0,11,70.0,65.0,52.0,31.0,26.0,81,15,313,0
138,624551,4,14,1,1552.0,1638.0,14,46.0,37.0,22.0,87.0,78.0,193,258,78,0
139,633023,4,10,4,1345.0,1725.0,15,160.0,155.0,134.0,17.0,12.0,258,80,1024,0
140,395273,3,20,4,1309.0,1532.0,17,83.0,95.0,73.0,7.0,19.0,220,266,507,0
141,435732,3,7,5,2146.0,2331.0,14,105.0,110.0,79.0,31.0,36.0,267,301,580,0
142,243307,2,8,5,1619.0,1914.0,14,115.0,108.0,93.0,33.0,26.0,80,99,627,0
143,795644,5,2,5,2022.0,2201.0,16,99.0,119.0,82.0,-13.0,7.0,63,104,631,0
144,1691874,11,18,2,1814.0,1857.0,11,43.0,55.0,30.0,27.0,39.0,81,261,190,0
145,1610636,10,10,5,933.0,1048.0,4,75.0,80.0,52.0,48.0,53.0,46,150,301,0
146,1208875,7,21,1,946.0,1136.0,12,110.0,122.0,77.0,35.0,47.0,162,87,501,0
147,990652,6,1,7,1023.0,1145.0,7,82.0,93.0,68.0,-3.0,8.0,64,18,446,1
148,381327,3,11,2,2231.0,2335.0,17,64.0,75.0,53.0,45.0,56.0,179,35,395,0
149,248691,2,20,3,1528.0,1806.0,14,98.0,93.0,75.0,35.0,30.0,259,36,522,0
150,1809428,12,20,6,1656.0,2104.0,15,188.0,153.0,145.0,44.0,9.0,258,80,1024,1
151,334487,2,21,4,842.0,1207.0,1,385.0,375.0,358.0,42.0,32.0,186,258,2585,0
152,1083853,7,8,2,2050.0,2111.0,17,81.0,90.0,68.0,46.0,55.0,149,35,484,0
153,1462080,9,27,6,1837.0,1957.0,15,140.0,157.0,127.0,17.0,34.0,80,258,967,1
154,2491,1,4,5,1716.0,1844.0,17,148.0,160.0,130.0,-1.0,11.0,179,80,895,0
155,193567,2,10,7,1858.0,2050.0,17,112.0,110.0,97.0,70.0,68.0,269,257,605,1
156,1664251,11,1,6,1156.0,1452.0,15,176.0,110.0,83.0,157.0,91.0,155,258,414,1
157,1539217,10,31,5,1750.0,1905.0,17,75.0,85.0,64.0,0.0,10.0,35,179,395,0
158,102353,1,3,4,1420.0,1420.0,7,60.0,66.0,39.0,59.0,65.0,18,184,147,0
159,1387332,8,19,2,2115.0,2219.0,1,64.0,60.0,45.0,84.0,80.0,81,249,247,0
160,505772,3,22,6,1240.0,1456.0,11,76.0,90.0,59.0,36.0,50.0,210,224,412,1
161,228514,2,3,7,1326.0,1435.0,19,69.0,77.0,59.0,6.0,14.0,69,80,230,1
162,953048,6,30,1,2103.0,2343.0,14,160.0,152.0,116.0,26.0,18.0,210,20,978,0
163,1656335,11,30,7,1424.0,1646.0,14,82.0,63.0,43.0,77.0,58.0,210,289,224,1
164,41665,1,4,5,1129.0,1300.0,19,91.0,100.0,75.0,80.0,89.0,251,135,515,0
165,1435377,9,23,2,1606.0,1718.0,17,72.0,75.0,54.0,3.0,6.0,271,220,338,0
166,659462,4,1,2,1718.0,1928.0,9,130.0,116.0,91.0,27.0,13.0,87,18,594,0
167,1362202,8,28,4,1314.0,1346.0,10,32.0,34.0,21.0,7.0,9.0,205,129,100,0
168,1036721,6,27,5,1251.0,1459.0,1,128.0,118.0,100.0,16.0,6.0,238,186,700,0
169,751953,5,27,2,2147.0,2332.0,17,105.0,115.0,93.0,17.0,27.0,204,257,671,0
170,89463,1,26,6,1641.0,1929.0,16,348.0,352.0,328.0,2.0,6.0,63,258,2296,1
171,72982,1,7,1,1556.0,1813.0,15,257.0,268.0,233.0,30.0,41.0,210,257,1721,0
172,1923171,12,3,3,2219.0,605.0,5,286.0,297.0,264.0,3.0,14.0,157,96,2454,0
173,1777541,12,18,4,1600.0,1645.0,19,45.0,61.0,30.0,80.0,96.0,103,220,119,0
174,1089408,7,13,7,1250.0,1548.0,17,178.0,155.0,125.0,48.0,25.0,155,257,866,1
175,778000,5,15,4,1614.0,1831.0,14,137.0,124.0,84.0,32.0,19.0,18,46,712,0
176,1051389,6,7,6,1335.0,1632.0,1,177.0,145.0,132.0,77.0,45.0,210,81,802,1
177,546967,3,19,3,953.0,1241.0,3,168.0,169.0,141.0,7.0,8.0,258,270,978,0
178,360226,2,11,1,1149.0,1907.0,5,258.0,270.0,234.0,47.0,59.0,157,61,2053,0
179,1063927,6,22,7,1428.0,1530.0,5,122.0,135.0,100.0,-2.0,11.0,18,136,689,1
180,1849849,12,4,4,1745.0,2036.0,9,111.0,115.0,93.0,28.0,32.0,175,18,692,0
181,533762,3,31,1,1255.0,1822.0,1,207.0,219.0,187.0,83.0,95.0,155,210,1515,0
182,972861,6,11,3,924.0,1124.0,16,300.0,266.0,287.0,78.0,44.0,63,155,1916,0
183,332651,2,19,2,751.0,1526.0,1,275.0,285.0,250.0,26.0,36.0,157,186,2342,0
184,254824,2,26,2,1034.0,1203.0,15,149.0,158.0,118.0,90.0,99.0,210,80,888,0
185,994640,6,26,4,2335.0,617.0,8,282.0,309.0,263.0,17.0,44.0,16,80,2406,0
186,1660668,11,16,7,1522.0,1643.0,15,81.0,89.0,61.0,11.0,19.0,210,199,334,1
187,1806672,12,5,5,1719.0,1822.0,15,63.0,76.0,47.0,123.0,136.0,80,2,349,0
188,1719407,11,22,6,1842.0,2329.0,5,227.0,235.0,190.0,14.0,22.0,96,40,1585,1
189,1283040,8,25,1,825.0,926.0,17,61.0,65.0,51.0,6.0,10.0,204,47,325,0
190,266260,2,1,5,1737.0,2056.0,16,139.0,151.0,118.0,-5.0,7.0,81,63,936,0
191,963626,6,20,5,1717.0,2256.0,15,219.0,230.0,203.0,1.0,12.0,80,37,1754,0
192,826027,5,20,2,2119.0,3.0,11,164.0,165.0,140.0,13.0,14.0,186,64,990,0
193,1589990,10,26,7,2036.0,2238.0,11,62.0,75.0,46.0,103.0,116.0,210,64,296,1
194,197950,2,14,4,2124.0,2228.0,17,64.0,70.0,54.0,13.0,19.0,76,173,319,0
195,1205207,7,2,3,1620.0,1801.0,11,101.0,95.0,66.0,31.0,25.0,150,237,426,0
196,1167127,7,2,3,1839.0,1958.0,17,79.0,75.0,51.0,23.0,19.0,104,149,318,0
197,217889,2,29,5,1631.0,1823.0,17,112.0,125.0,99.0,8.0,21.0,257,177,718,0
198,1573999,10,28,2,1700.0,1817.0,6,197.0,208.0,174.0,6.0,17.0,18,2,1269,0
199,1458480,9,8,1,739.0,1557.0,15,318.0,336.0,297.0,-8.0,10.0,259,150,2586,0
200,1104734,7,29,2,1948.0,2041.0,17,53.0,60.0,36.0,51.0,58.0,48,224,210,0
201,1687145,11,17,1,2017.0,2147.0,9,270.0,280.0,245.0,22.0,32.0,18,155,1747,0
202,551132,3,15,6,1111.0,1637.0,4,206.0,239.0,183.0,8.0,41.0,163,210,1735,1
203,1515496,9,2,2,1221.0,1542.0,6,141.0,153.0,118.0,-6.0,6.0,199,18,906,0
204,1202843,7,22,2,1844.0,1924.0,11,100.0,110.0,83.0,9.0,19.0,55,210,501,0
205,215883,2,27,3,2121.0,2340.0,17,79.0,80.0,71.0,25.0,26.0,275,87,440,0
206,946642,6,16,1,1804.0,1915.0,14,71.0,62.0,52.0,80.0,71.0,264,251,234,0
207,681202,4,1,2,1147.0,1231.0,12,44.0,48.0,27.0,28.0,32.0,199,84,144,0
208,868805,5,21,3,2001.0,1144.0,5,583.0,575.0,554.0,14.0,6.0,129,96,4962,0
209,185423,2,4,1,1859.0,2120.0,17,81.0,70.0,51.0,70.0,59.0,209,220,325,0
210,1671413,11,2,7,1728.0,1829.0,17,61.0,70.0,50.0,9.0,18.0,48,232,328,1
211,1397403,8,1,5,1606.0,1745.0,3,99.0,105.0,81.0,5.0,11.0,269,257,605,0
212,1643561,11,11,2,2132.0,2336.0,18,124.0,62.0,38.0,109.0,47.0,136,10,190,0
213,1174418,7,29,2,1642.0,2057.0,7,255.0,85.0,70.0,253.0,83.0,257,18,321,0
214,1049356,6,16,1,1934.0,2034.0,1,60.0,60.0,39.0,14.0,14.0,20,81,190,0
215,1217011,7,19,6,1333.0,2223.0,1,350.0,340.0,312.0,28.0,18.0,157,150,2475,1
216,662043,4,12,6,1036.0,1301.0,9,145.0,139.0,114.0,40.0,34.0,177,140,828,1
217,804385,5,2,5,1922.0,2048.0,17,206.0,230.0,190.0,-2.0,22.0,175,157,1363,0
218,1092180,7,16,3,2024.0,2143.0,17,79.0,85.0,67.0,23.0,29.0,35,179,395,0
219,351088,2,4,1,1031.0,1224.0,3,113.0,99.0,73.0,40.0,26.0,258,242,564,0
220,1814048,12,17,3,1241.0,1637.0,15,176.0,206.0,154.0,-3.0,27.0,220,210,1440,0
221,1025677,6,21,6,750.0,921.0,12,151.0,164.0,134.0,62.0,75.0,96,181,946,1
222,319899,2,26,2,1559.0,1917.0,12,258.0,218.0,176.0,86.0,46.0,177,199,1310,0
223,978202,6,27,5,2011.0,2226.0,16,135.0,135.0,118.0,116.0,116.0,285,79,814,0
224,1114159,7,10,4,1816.0,2044.0,18,148.0,127.0,85.0,64.0,43.0,21,96,583,0
225,112746,1,14,1,1728.0,1926.0,9,118.0,107.0,92.0,24.0,13.0,215,18,545,0
226,538109,3,23,7,1829.0,2354.0,1,205.0,225.0,180.0,129.0,149.0,258,81,1660,1
227,164540,1,5,6,1045.0,1315.0,3,150.0,140.0,123.0,30.0,20.0,216,157,834,1
228,1283025,8,25,1,2204.0,2324.0,17,80.0,90.0,69.0,9.0,19.0,185,48,377,0
229,430126,3,14,5,1325.0,1450.0,13,85.0,94.0,52.0,1.0,10.0,150,46,301,0
230,1049230,6,25,3,1913.0,2025.0,1,72.0,65.0,51.0,70.0,63.0,177,186,193,0
231,1252237,7,28,1,651.0,1121.0,5,210.0,210.0,192.0,21.0,21.0,136,96,1400,0
232,1666824,11,10,1,950.0,1050.0,16,60.0,65.0,45.0,25.0,30.0,155,248,258,0
233,355935,2,14,4,2224.0,129.0,4,245.0,254.0,223.0,90.0,99.0,150,20,1522,0
234,1483772,9,14,7,648.0,739.0,11,51.0,55.0,37.0,4.0,8.0,254,157,155,1
235,1181035,7,14,1,1332.0,1420.0,7,48.0,58.0,31.0,56.0,66.0,18,50,191,0
236,472211,3,21,5,1608.0,1732.0,6,144.0,145.0,117.0,37.0,38.0,18,81,732,0
237,1050195,6,15,7,1526.0,1814.0,1,108.0,110.0,75.0,9.0,11.0,68,81,592,1
238,615018,4,19,6,1135.0,1235.0,13,60.0,54.0,36.0,26.0,20.0,294,18,152,1
239,89365,1,25,5,1129.0,1256.0,16,147.0,129.0,115.0,42.0,24.0,220,204,646,0
240,521444,3,13,4,2225.0,5.0,0,160.0,170.0,140.0,155.0,165.0,87,206,900,0
241,1192233,7,31,4,1641.0,2050.0,9,249.0,139.0,130.0,152.0,42.0,131,18,780,0
242,1807382,12,26,5,918.0,1247.0,15,149.0,138.0,106.0,144.0,133.0,210,37,867,0
243,947413,6,18,3,1609.0,1759.0,14,50.0,55.0,37.0,9.0,14.0,187,106,211,0
244,939025,6,26,4,2030.0,2155.0,13,85.0,93.0,60.0,41.0,49.0,238,18,356,0
245,188188,2,6,3,1752.0,1914.0,17,82.0,85.0,70.0,9.0,12.0,175,35,491,0
246,1031376,6,21,6,1759.0,2113.0,0,134.0,137.0,96.0,46.0,49.0,165,87,705,1
247,1011120,6,9,1,1104.0,1329.0,11,85.0,90.0,69.0,9.0,14.0,210,46,473,0
248,510538,3,23,7,1239.0,1338.0,12,179.0,198.0,161.0,65.0,84.0,199,220,1276,1
249,320663,2,13,3,648.0,735.0,12,107.0,119.0,84.0,-4.0,8.0,87,199,528,0
250,1008584,6,1,7,1212.0,1312.0,11,60.0,70.0,46.0,2.0,12.0,81,130,247,1
251,1876033,12,9,2,1015.0,1458.0,12,223.0,201.0,190.0,32.0,10.0,199,247,1416,0
252,49744,1,21,1,930.0,1051.0,13,81.0,88.0,60.0,13.0,20.0,73,135,388,0
253,1264867,8,5,2,2145.0,2239.0,17,54.0,55.0,42.0,44.0,45.0,287,76,237,0
254,1724968,11,6,4,1220.0,1422.0,6,122.0,123.0,100.0,9.0,10.0,87,18,594,0
255,815296,5,29,4,1646.0,1806.0,8,80.0,85.0,66.0,21.0,26.0,80,266,391,0
256,1283082,8,25,1,1006.0,1052.0,17,166.0,175.0,151.0,-3.0,6.0,207,155,1099,0
257,783614,5,17,6,1848.0,2112.0,15,84.0,96.0,71.0,1.0,13.0,80,175,533,1
258,98774,1,26,6,1543.0,1831.0,6,108.0,118.0,90.0,-2.0,8.0,175,18,692,1
259,586405,4,17,4,2009.0,2150.0,17,161.0,105.0,122.0,160.0,104.0,76,91,562,0
260,1490526,9,26,5,1427.0,1633.0,11,126.0,75.0,50.0,128.0,77.0,37,162,185,0
261,32674,1,5,6,1407.0,1518.0,18,71.0,80.0,54.0,-2.0,7.0,157,263,308,1
262,1733240,12,12,5,1337.0,1510.0,17,153.0,155.0,139.0,30.0,32.0,2,204,889,0
263,1768127,12,24,3,1118.0,1344.0,18,146.0,138.0,101.0,141.0,133.0,96,21,583,0
264,1571123,10,17,5,1641.0,1822.0,6,101.0,92.0,80.0,15.0,6.0,73,18,373,0
265,1859322,12,16,2,1654.0,1819.0,11,85.0,85.0,65.0,59.0,59.0,44,81,383,0
266,532822,3,22,6,1834.0,1928.0,1,54.0,65.0,41.0,148.0,159.0,177,186,193,1
